
; Distancia (Mpc) ; Nome da galaxia1 ; Massa1 ($M_\odot$) ; Idade1 (Gyr) ; redshift1 ; Nome da galaxia2 ; Massa2 ($M_\odot$) ; Idade2 (Gyr) ; redshift2 ; Criterio ;
; 16.5 ; NGC 4366 ; $2.0 \times 10^{9}$ ; 6.0 ; 0.00431 ; VCC 721 ; $6.5 \times 10^{7}$ ; 3.5 ; 0.00411 ; 0 ;
; 20.0 ; NGC 1374 ; $4.0 \times 10^{10}$ ; 11.0 ; 0.00441 ; IC 1933 ; $1.2 \times 10^{9}$ ; 4.5 ; 0.00485 ; 1 ;
; 20.0 ; NGC 1381 ; $3.5 \times 10^{10}$ ; 10.5 ; 0.00575 ; IC 1970 ; $2.8 \times 10^{9}$ ; 5.5 ; 0.00531 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; NGC 1402 ; $2.2 \times 10^{10}$ ; 8.5 ; 0.00511 ; 0 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; NGC 1389 ; $3.0 \times 10^{10}$ ; 7.5 ; 0.00614 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; NGC 5030 ; $1.4 \times 10^{10}$ ; 8.0 ; 0.00831 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4218 ; $2.5 \times 10^{9}$ ; 5.0 ; 0.00962 ; 1 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 6923 ; $6.0 \times 10^{9}$ ; 4.5 ; 0.00312 ; 0 ;
; 18.6 ; NGC 3631 ; $9.0 \times 10^{10}$ ; 9.5 ; 0.00386 ; UGC 6347 ; $2.0 \times 10^{9}$ ; 4.0 ; 0.00419 ; 1 ;
; 50.0 ; NGC 7619 ; $6.0 \times 10^{11}$ ; 12.5 ; 0.01254 ; IC 5309 ; $4.5 \times 10^{9}$ ; 6.0 ; 0.01292 ; 1 ;
; 50.0 ; NGC 7626 ; $5.0 \times 10^{11}$ ; 12.0 ; 0.01135 ; IC 5312 ; $3.0 \times 10^{9}$ ; 5.5 ; 0.01111 ; 0 ;
; 27.0 ; NGC 3640 ; $3.0 \times 10^{11}$ ; 12.0 ; 0.00431 ; NGC 3641 ; $8.0 \times 10^{9}$ ; 9.0 ; 0.00602 ; 1 ;
; 27.0 ; NGC 3640 ; $3.0 \times 10^{11}$ ; 12.0 ; 0.00431 ; NGC 3630 ; $4.5 \times 10^{10}$ ; 10.5 ; 0.00495 ; 1 ;
; 27.0 ; NGC 3640 ; $3.0 \times 10^{11}$ ; 12.0 ; 0.00431 ; NGC 3664 ; $3.5 \times 10^{9}$ ; 5.0 ; 0.00401 ; 0 ;
; 16.5 ; NGC 4370 ; $1.5 \times 10^{10}$ ; 8.5 ; 0.00381 ; VCC 734 ; $9.0 \times 10^{7}$ ; 4.0 ; 0.00354 ; 0 ;
; 16.5 ; NGC 4407 ; $6.0 \times 10^{9}$ ; 7.0 ; 0.00331 ; VCC 812 ; $1.1 \times 10^{8}$ ; 3.5 ; 0.00392 ; 1 ;
; 16.5 ; NGC 4413 ; $8.0 \times 10^{9}$ ; 6.0 ; 0.00035 ; VCC 896 ; $5.0 \times 10^{7}$ ; 3.0 ; 0.00112 ; 1 ;
; 16.5 ; NGC 4425 ; $1.2 \times 10^{10}$ ; 7.5 ; 0.00631 ; VCC 944 ; $1.8 \times 10^{8}$ ; 4.5 ; 0.00599 ; 0 ;
; 16.5 ; NGC 4438 ; $7.0 \times 10^{10}$ ; 9.0 ; 0.00023 ; VCC 1011 ; $3.5 \times 10^{8}$ ; 5.0 ; 0.00084 ; 1 ;
; 16.5 ; NGC 4452 ; $6.0 \times 10^{9}$ ; 9.5 ; 0.00018 ; VCC 1120 ; $7.0 \times 10^{7}$ ; 4.0 ; 0.00045 ; 1 ;
; 16.5 ; NGC 4496A ; $8.0 \times 10^{9}$ ; 4.5 ; 0.00577 ; VCC 1242 ; $1.2 \times 10^{8}$ ; 3.5 ; 0.00531 ; 0 ;
; 20.0 ; NGC 1380 ; $1.2 \times 10^{11}$ ; 11.5 ; 0.00626 ; IC 1912 ; $1.4 \times 10^{9}$ ; 4.5 ; 0.00681 ; 1 ;
; 20.0 ; NGC 1326 ; $3.0 \times 10^{10}$ ; 7.0 ; 0.00454 ; IC 1918 ; $2.0 \times 10^{9}$ ; 5.0 ; 0.00412 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; AGC 131422 ; $5.5 \times 10^{7}$ ; 3.5 ; 0.00654 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; AGC 130812 ; $4.0 \times 10^{7}$ ; 2.5 ; 0.00511 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; NGC 5011B ; $2.2 \times 10^{10}$ ; 9.0 ; 0.00845 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4223 ; $1.8 \times 10^{9}$ ; 4.5 ; 0.01011 ; 1 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 6930 ; $1.4 \times 10^{10}$ ; 5.5 ; 0.00318 ; 0 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 6840 ; $8.0 \times 10^{9}$ ; 4.5 ; 0.00392 ; 1 ;
; 50.0 ; NGC 7619 ; $6.0 \times 10^{11}$ ; 12.5 ; 0.01254 ; IC 5310 ; $2.5 \times 10^{9}$ ; 5.0 ; 0.01312 ; 1 ;
; 50.0 ; NGC 7626 ; $5.0 \times 10^{11}$ ; 12.0 ; 0.01135 ; IC 5314 ; $1.9 \times 10^{9}$ ; 4.0 ; 0.01088 ; 0 ;
; 24.0 ; NGC 2567 ; $1.8 \times 10^{11}$ ; 11.0 ; 0.00485 ; NGC 2568 ; $3.0 \times 10^{10}$ ; 7.5 ; 0.00512 ; 1 ;
; 24.0 ; NGC 2567 ; $1.8 \times 10^{11}$ ; 11.0 ; 0.00485 ; NGC 2565 ; $4.5 \times 10^{10}$ ; 8.0 ; 0.00441 ; 0 ;
; 16.5 ; NGC 4451 ; $2.5 \times 10^{10}$ ; 8.0 ; 0.00286 ; VCC 1145 ; $9.5 \times 10^{7}$ ; 4.0 ; 0.00331 ; 1 ;
; 16.5 ; NGC 4469 ; $4.0 \times 10^{10}$ ; 9.0 ; 0.00171 ; VCC 1202 ; $1.4 \times 10^{8}$ ; 4.5 ; 0.00145 ; 0 ;
; 16.5 ; NGC 4476 ; $5.0 \times 10^{9}$ ; 10.5 ; 0.00661 ; VCC 1253 ; $8.0 \times 10^{7}$ ; 5.0 ; 0.00712 ; 1 ;
; 16.5 ; NGC 4478 ; $1.8 \times 10^{10}$ ; 8.0 ; 0.00464 ; VCC 1312 ; $2.0 \times 10^{8}$ ; 4.0 ; 0.00495 ; 1 ;
; 16.5 ; NGC 4494 ; $8.0 \times 10^{10}$ ; 9.5 ; 0.00448 ; VCC 1354 ; $3.5 \times 10^{8}$ ; 4.5 ; 0.00411 ; 0 ;
; 16.5 ; NGC 4551 ; $4.5 \times 10^{9}$ ; 9.0 ; 0.00392 ; VCC 1412 ; $6.0 \times 10^{7}$ ; 3.5 ; 0.00445 ; 1 ;
; 16.5 ; NGC 4564 ; $3.2 \times 10^{10}$ ; 11.5 ; 0.00381 ; VCC 1490 ; $2.5 \times 10^{8}$ ; 5.5 ; 0.00362 ; 0 ;
; 16.5 ; NGC 4586 ; $2.2 \times 10^{10}$ ; 6.5 ; 0.00262 ; VCC 1532 ; $1.1 \times 10^{8}$ ; 3.0 ; 0.00299 ; 1 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; NGC 1382 ; $1.5 \times 10^{10}$ ; 9.5 ; 0.00587 ; 1 ;
; 20.0 ; NGC 1316 ; $6.0 \times 10^{11}$ ; 12.0 ; 0.00587 ; IC 1928 ; $9.0 \times 10^{8}$ ; 4.0 ; 0.00531 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; AGC 131612 ; $3.8 \times 10^{7}$ ; 3.0 ; 0.00624 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; AGC 130544 ; $5.0 \times 10^{7}$ ; 2.5 ; 0.00542 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; NGC 5011C ; $1.6 \times 10^{10}$ ; 8.5 ; 0.00954 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4225 ; $1.1 \times 10^{9}$ ; 4.0 ; 0.00881 ; 0 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 6945 ; $8.5 \times 10^{9}$ ; 4.5 ; 0.00388 ; 1 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 6802 ; $5.0 \times 10^{9}$ ; 3.5 ; 0.00321 ; 0 ;
; 50.0 ; NGC 7619 ; $6.0 \times 10^{11}$ ; 12.5 ; 0.01254 ; IC 5315 ; $3.0 \times 10^{9}$ ; 5.5 ; 0.01295 ; 1 ;
; 50.0 ; NGC 7626 ; $5.0 \times 10^{11}$ ; 12.0 ; 0.01135 ; IC 5318 ; $1.5 \times 10^{9}$ ; 4.5 ; 0.01099 ; 0 ;
; 15.2 ; NGC 4274 ; $6.0 \times 10^{10}$ ; 9.0 ; 0.00310 ; NGC 4245 ; $1.8 \times 10^{10}$ ; 7.5 ; 0.00294 ; 0 ;
; 15.2 ; NGC 4274 ; $6.0 \times 10^{10}$ ; 9.0 ; 0.00310 ; NGC 4251 ; $3.5 \times 10^{10}$ ; 8.0 ; 0.00335 ; 1 ;
; 15.2 ; NGC 4278 ; $7.0 \times 10^{10}$ ; 11.5 ; 0.00216 ; NGC 4245 ; $1.8 \times 10^{10}$ ; 7.5 ; 0.00294 ; 1 ;
; 16.5 ; NGC 4606 ; $1.4 \times 10^{10}$ ; 7.0 ; 0.00377 ; VCC 1554 ; $1.1 \times 10^{8}$ ; 3.5 ; 0.00412 ; 1 ;
; 16.5 ; NGC 4612 ; $1.2 \times 10^{10}$ ; 9.5 ; 0.00592 ; VCC 1621 ; $8.0 \times 10^{7}$ ; 4.0 ; 0.00551 ; 0 ;
; 16.5 ; NGC 4621 ; $2.0 \times 10^{11}$ ; 12.0 ; 0.00157 ; VCC 1664 ; $3.0 \times 10^{8}$ ; 5.0 ; 0.00195 ; 1 ;
; 16.5 ; NGC 4638 ; $2.5 \times 10^{10}$ ; 10.0 ; 0.00384 ; VCC 1702 ; $1.5 \times 10^{8}$ ; 4.5 ; 0.00342 ; 0 ;
; 16.5 ; NGC 4643 ; $8.0 \times 10^{10}$ ; 10.0 ; 0.00445 ; VCC 1744 ; $4.5 \times 10^{8}$ ; 4.0 ; 0.00488 ; 1 ;
; 16.5 ; NGC 4654 ; $4.5 \times 10^{10}$ ; 7.5 ; 0.00349 ; VCC 1810 ; $2.2 \times 10^{8}$ ; 3.5 ; 0.00381 ; 1 ;
; 16.5 ; NGC 4660 ; $3.0 \times 10^{10}$ ; 11.0 ; 0.00361 ; VCC 1884 ; $9.0 \times 10^{7}$ ; 5.0 ; 0.00311 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; NGC 1425 ; $4.0 \times 10^{10}$ ; 7.0 ; 0.00511 ; 1 ;
; 20.0 ; NGC 1316 ; $6.0 \times 10^{11}$ ; 12.0 ; 0.00587 ; IC 1938 ; $1.2 \times 10^{9}$ ; 4.5 ; 0.00542 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; AGC 131812 ; $2.8 \times 10^{7}$ ; 3.0 ; 0.00635 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; AGC 130211 ; $4.5 \times 10^{7}$ ; 2.5 ; 0.00531 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; NGC 5011D ; $8.0 \times 10^{9}$ ; 7.5 ; 0.00962 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4227 ; $1.4 \times 10^{9}$ ; 4.0 ; 0.00894 ; 0 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 6962 ; $7.0 \times 10^{9}$ ; 4.5 ; 0.00394 ; 1 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 6742 ; $4.5 \times 10^{9}$ ; 3.5 ; 0.00318 ; 0 ;
; 50.0 ; NGC 7619 ; $6.0 \times 10^{11}$ ; 12.5 ; 0.01254 ; IC 5316 ; $2.0 \times 10^{9}$ ; 5.0 ; 0.01311 ; 1 ;
; 50.0 ; NGC 7626 ; $5.0 \times 10^{11}$ ; 12.0 ; 0.01135 ; IC 5322 ; $1.1 \times 10^{9}$ ; 4.0 ; 0.01092 ; 0 ;
; 51.0 ; NGC 3311 ; $7.0 \times 10^{11}$ ; 13.0 ; 0.01275 ; NGC 3309 ; $5.0 \times 10^{11}$ ; 12.5 ; 0.01361 ; 1 ;
; 51.0 ; NGC 3311 ; $7.0 \times 10^{11}$ ; 13.0 ; 0.01275 ; NGC 3312 ; $9.0 \times 10^{10}$ ; 8.5 ; 0.00971 ; 0 ;
; 51.0 ; NGC 3309 ; $5.0 \times 10^{11}$ ; 12.5 ; 0.01361 ; NGC 3314A ; $4.0 \times 10^{10}$ ; 7.0 ; 0.00947 ; 0 ;
; 16.5 ; NGC 4666 ; $1.2 \times 10^{11}$ ; 8.0 ; 0.00507 ; VCC 1941 ; $1.5 \times 10^{8}$ ; 4.0 ; 0.00542 ; 1 ;
; 16.5 ; NGC 4260 ; $5.0 \times 10^{10}$ ; 10.0 ; 0.00612 ; VCC 1982 ; $9.5 \times 10^{7}$ ; 4.5 ; 0.00674 ; 1 ;
; 16.5 ; NGC 4269 ; $1.8 \times 10^{10}$ ; 11.0 ; 0.00843 ; VCC 2002 ; $2.0 \times 10^{8}$ ; 5.0 ; 0.00811 ; 0 ;
; 16.5 ; NGC 4281 ; $4.5 \times 10^{10}$ ; 11.0 ; 0.00889 ; VCC 2035 ; $3.5 \times 10^{8}$ ; 5.5 ; 0.00931 ; 1 ;
; 16.5 ; NGC 4323 ; $2.0 \times 10^{9}$ ; 5.0 ; 0.00582 ; VCC 2061 ; $6.0 \times 10^{7}$ ; 3.0 ; 0.00614 ; 1 ;
; 16.5 ; NGC 4328 ; $3.0 \times 10^{9}$ ; 7.0 ; 0.00481 ; VCC 2090 ; $8.5 \times 10^{7}$ ; 3.5 ; 0.00445 ; 0 ;
; 16.5 ; NGC 4465 ; $3.5 \times 10^{9}$ ; 6.0 ; 0.00302 ; VCC 2101 ; $1.0 \times 10^{8}$ ; 4.0 ; 0.00339 ; 1 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; NGC 1436 ; $3.0 \times 10^{10}$ ; 7.5 ; 0.00494 ; 1 ;
; 20.0 ; NGC 1316 ; $6.0 \times 10^{11}$ ; 12.0 ; 0.00587 ; IC 1952 ; $2.5 \times 10^{9}$ ; 5.0 ; 0.00554 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; AGC 132112 ; $3.0 \times 10^{7}$ ; 2.5 ; 0.00611 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; AGC 130145 ; $4.0 \times 10^{7}$ ; 2.0 ; 0.00535 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; NGC 4969 ; $1.2 \times 10^{10}$ ; 7.0 ; 0.00985 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4232 ; $1.6 \times 10^{9}$ ; 4.5 ; 0.00892 ; 0 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 6973 ; $6.5 \times 10^{9}$ ; 4.0 ; 0.00371 ; 1 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 6642 ; $3.8 \times 10^{9}$ ; 3.5 ; 0.00310 ; 0 ;
; 50.0 ; NGC 7619 ; $6.0 \times 10^{11}$ ; 12.5 ; 0.01254 ; IC 5325 ; $1.8 \times 10^{9}$ ; 4.5 ; 0.01299 ; 1 ;
; 50.0 ; NGC 7626 ; $5.0 \times 10^{11}$ ; 12.0 ; 0.01135 ; IC 5328 ; $2.2 \times 10^{9}$ ; 5.0 ; 0.01104 ; 0 ;
; 4.1 ; NGC 4214 ; $1.5 \times 10^{10}$ ; 7.0 ; 0.00097 ; UGCA 276 ; $8.0 \times 10^{7}$ ; 3.5 ; 0.00114 ; 1 ;
; 4.1 ; NGC 4214 ; $1.5 \times 10^{10}$ ; 7.0 ; 0.00097 ; UGC 7301 ; $3.0 \times 10^{8}$ ; 4.0 ; 0.00085 ; 0 ;
; 4.1 ; NGC 4244 ; $2.0 \times 10^{10}$ ; 8.0 ; 0.00081 ; UGCA 276 ; $8.0 \times 10^{7}$ ; 3.5 ; 0.00114 ; 1 ;
; 16.5 ; NGC 4467 ; $1.2 \times 10^{9}$ ; 8.5 ; 0.00465 ; VCC 2120 ; $5.0 \times 10^{7}$ ; 4.0 ; 0.00499 ; 1 ;
; 16.5 ; NGC 4478 ; $1.8 \times 10^{10}$ ; 8.0 ; 0.00464 ; VCC 2153 ; $1.4 \times 10^{8}$ ; 3.5 ; 0.00421 ; 0 ;
; 16.5 ; NGC 4612 ; $1.2 \times 10^{10}$ ; 9.5 ; 0.00592 ; VCC 2181 ; $9.0 \times 10^{7}$ ; 4.5 ; 0.00624 ; 1 ;
; 16.5 ; NGC 4627 ; $1.5 \times 10^{9}$ ; 7.5 ; 0.00181 ; VCC 2204 ; $6.5 \times 10^{7}$ ; 3.0 ; 0.00145 ; 0 ;
; 16.5 ; NGC 4638 ; $2.5 \times 10^{10}$ ; 10.0 ; 0.00384 ; VCC 2235 ; $2.0 \times 10^{8}$ ; 5.0 ; 0.00412 ; 1 ;
; 16.5 ; NGC 4643 ; $8.0 \times 10^{10}$ ; 10.0 ; 0.00445 ; VCC 2261 ; $3.0 \times 10^{8}$ ; 4.0 ; 0.00485 ; 1 ;
; 16.5 ; NGC 4647 ; $2.0 \times 10^{10}$ ; 5.0 ; 0.00470 ; VCC 2290 ; $1.1 \times 10^{8}$ ; 3.5 ; 0.00431 ; 0 ;
; 20.0 ; NGC 1374 ; $4.0 \times 10^{10}$ ; 11.0 ; 0.00441 ; IC 1923 ; $8.5 \times 10^{8}$ ; 4.0 ; 0.00474 ; 1 ;
; 20.0 ; NGC 1381 ; $3.5 \times 10^{10}$ ; 10.5 ; 0.00575 ; IC 1980 ; $1.6 \times 10^{9}$ ; 5.0 ; 0.00532 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; NGC 1423 ; $1.8 \times 10^{10}$ ; 7.0 ; 0.00631 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; NGC 1347 ; $2.2 \times 10^{10}$ ; 6.5 ; 0.00544 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; NGC 4970 ; $4.0 \times 10^{10}$ ; 9.0 ; 0.00964 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4235 ; $1.3 \times 10^{9}$ ; 4.0 ; 0.00895 ; 0 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 6992 ; $5.0 \times 10^{9}$ ; 4.5 ; 0.00381 ; 1 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 6621 ; $4.0 \times 10^{9}$ ; 3.5 ; 0.00324 ; 0 ;
; 50.0 ; NGC 7619 ; $6.0 \times 10^{11}$ ; 12.5 ; 0.01254 ; IC 5332A ; $1.1 \times 10^{9}$ ; 4.0 ; 0.01294 ; 1 ;
; 50.0 ; NGC 7626 ; $5.0 \times 10^{11}$ ; 12.0 ; 0.01135 ; IC 5334 ; $2.5 \times 10^{9}$ ; 5.0 ; 0.01099 ; 0 ;
; 12.4 ; NGC 4725 ; $2.5 \times 10^{11}$ ; 10.0 ; 0.00403 ; NGC 4747 ; $1.5 \times 10^{10}$ ; 6.5 ; 0.00390 ; 0 ;
; 12.4 ; NGC 4725 ; $2.5 \times 10^{11}$ ; 10.0 ; 0.00403 ; NGC 4712 ; $3.0 \times 10^{10}$ ; 7.5 ; 0.00431 ; 1 ;
; 12.4 ; NGC 4725 ; $2.5 \times 10^{11}$ ; 10.0 ; 0.00403 ; UGC 7943 ; $8.0 \times 10^{8}$ ; 4.0 ; 0.00415 ; 1 ;
; 16.5 ; NGC 4486 (M87) ; $1.0 \times 10^{12}$ ; 13.0 ; 0.00428 ; VCC 2341 ; $1.2 \times 10^{8}$ ; 4.5 ; 0.00462 ; 1 ;
; 16.5 ; NGC 4526 ; $2.0 \times 10^{11}$ ; 12.0 ; 0.00206 ; VCC 2372 ; $2.5 \times 10^{8}$ ; 5.0 ; 0.00181 ; 0 ;
; 16.5 ; NGC 4535 ; $1.5 \times 10^{11}$ ; 8.5 ; 0.00655 ; VCC 2404 ; $3.0 \times 10^{8}$ ; 3.5 ; 0.00692 ; 1 ;
; 16.5 ; NGC 4546 ; $8.0 \times 10^{10}$ ; 11.0 ; 0.00350 ; VCC 2431 ; $9.5 \times 10^{7}$ ; 4.0 ; 0.00391 ; 1 ;
; 16.5 ; NGC 4570 ; $9.0 \times 10^{10}$ ; 11.5 ; 0.00595 ; VCC 2470 ; $1.1 \times 10^{8}$ ; 4.5 ; 0.00554 ; 0 ;
; 16.5 ; NGC 4596 ; $7.0 \times 10^{10}$ ; 10.5 ; 0.00341 ; VCC 2511 ; $1.6 \times 10^{8}$ ; 3.5 ; 0.00388 ; 1 ;
; 16.5 ; NGC 4636 ; $3.0 \times 10^{11}$ ; 12.5 ; 0.00355 ; VCC 2542 ; $5.0 \times 10^{7}$ ; 5.0 ; 0.00312 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; IC 1919 ; $3.0 \times 10^{9}$ ; 6.0 ; 0.00512 ; 1 ;
; 20.0 ; NGC 1380 ; $1.2 \times 10^{11}$ ; 11.5 ; 0.00626 ; IC 1934 ; $9.0 \times 10^{8}$ ; 3.5 ; 0.00543 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; NGC 1398 ; $1.8 \times 10^{11}$ ; 10.0 ; 0.00470 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; IC 1959 ; $8.0 \times 10^{8}$ ; 4.0 ; 0.00635 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; NGC 5054 ; $9.0 \times 10^{10}$ ; 7.0 ; 0.00971 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4242 ; $9.0 \times 10^{8}$ ; 4.5 ; 0.00874 ; 0 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 7011 ; $4.5 \times 10^{9}$ ; 4.0 ; 0.00399 ; 1 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 6542 ; $2.8 \times 10^{9}$ ; 3.0 ; 0.00311 ; 0 ;
; 50.0 ; NGC 7619 ; $6.0 \times 10^{11}$ ; 12.5 ; 0.01254 ; IC 5339 ; $2.0 \times 10^{9}$ ; 4.5 ; 0.01288 ; 1 ;
; 50.0 ; NGC 7626 ; $5.0 \times 10^{11}$ ; 12.0 ; 0.01135 ; IC 5342 ; $1.4 \times 10^{9}$ ; 4.0 ; 0.01095 ; 0 ;
; 22.0 ; NGC 4038 ; $1.2 \times 10^{11}$ ; 6.0 ; 0.00548 ; NGC 4039 ; $8.0 \times 10^{10}$ ; 5.5 ; 0.00531 ; 0 ;
; 22.0 ; NGC 4038 ; $1.2 \times 10^{11}$ ; 6.0 ; 0.00548 ; NGC 3956 ; $3.5 \times 10^{10}$ ; 5.0 ; 0.00559 ; 1 ;
; 22.0 ; NGC 4038 ; $1.2 \times 10^{11}$ ; 6.0 ; 0.00548 ; NGC 4024 ; $4.0 \times 10^{10}$ ; 5.0 ; 0.00562 ; 1 ;
; 16.5 ; NGC 4486A ; $8.0 \times 10^{9}$ ; 11.5 ; 0.00392 ; VCC 2561 ; $7.0 \times 10^{7}$ ; 4.0 ; 0.00351 ; 0 ;
; 16.5 ; NGC 4519 ; $1.5 \times 10^{10}$ ; 7.0 ; 0.00405 ; VCC 2590 ; $1.2 \times 10^{8}$ ; 3.5 ; 0.00441 ; 1 ;
; 16.5 ; NGC 4522 ; $1.0 \times 10^{10}$ ; 6.5 ; 0.00777 ; VCC 2612 ; $9.0 \times 10^{7}$ ; 3.0 ; 0.00812 ; 1 ;
; 16.5 ; NGC 4536 ; $2.0 \times 10^{11}$ ; 8.5 ; 0.00603 ; VCC 2654 ; $4.0 \times 10^{8}$ ; 4.5 ; 0.00554 ; 0 ;
; 16.5 ; NGC 4552 (M89) ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00113 ; VCC 2691 ; $3.2 \times 10^{8}$ ; 5.0 ; 0.00142 ; 1 ;
; 16.5 ; NGC 4567 ; $5.0 \times 10^{10}$ ; 6.0 ; 0.00751 ; VCC 2722 ; $1.5 \times 10^{8}$ ; 3.5 ; 0.00795 ; 1 ;
; 16.5 ; NGC 4568 ; $8.0 \times 10^{10}$ ; 6.5 ; 0.00752 ; VCC 2751 ; $2.0 \times 10^{8}$ ; 4.0 ; 0.00711 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; IC 1928 ; $9.0 \times 10^{8}$ ; 4.0 ; 0.00531 ; 1 ;
; 20.0 ; NGC 1380 ; $1.2 \times 10^{11}$ ; 11.5 ; 0.00626 ; IC 1970 ; $2.8 \times 10^{9}$ ; 5.5 ; 0.00531 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; NGC 1440 ; $4.5 \times 10^{10}$ ; 9.0 ; 0.00511 ; 0 ;
